name,true_pld,proxy_pld,abs_error,signed_error
vby+N593+E216,6.84651,5.921963691711426,0.9245463082885745,-0.9245463082885745
zfo+N383+E130,7.926,7.370265960693359,0.5557340393066408,-0.5557340393066408
fnj+N172+E108,8.82381,7.009522438049316,1.8142875619506835,-1.8142875619506835
wff+N368+E186,8.90504,8.056607246398926,0.8484327536010738,-0.8484327536010738
smc+N567+E153,7.33506,6.157159328460693,1.177900671539307,-1.177900671539307
wib+N589+E37,5.3981900000000005,4.363304138183594,1.0348858618164067,-1.0348858618164067
wme+N509+E18,7.92952,6.893816947937012,1.0357030520629884,-1.0357030520629884
snw+N287+E51,6.7079699999999995,5.84886360168457,0.8591063983154292,-0.8591063983154292
fcp+N133+E146,8.24376,7.436746597290039,0.8070134027099609,-0.8070134027099609
nce+N650+E123,7.47012,6.8007307052612305,0.6693892947387692,-0.6693892947387692
nfc+N654+E67,6.07649,5.166215896606445,0.9102741033935544,-0.9102741033935544
wmk+N144+E138,6.485869999999999,5.7424468994140625,0.7434231005859369,-0.7434231005859369
wjs+N391+E50,6.88687,5.889193058013916,0.997676941986084,-0.997676941986084
lom+N446+E26,5.8491,5.224390029907227,0.6247099700927734,-0.6247099700927734
wgb+N572+E226,4.019880000000001,3.3707120418548584,0.6491679581451422,-0.6491679581451422
qtz-x+N222+E70,6.74326,6.026466369628906,0.716793630371094,-0.716793630371094
snw+N433+E158,7.9782399999999996,7.263535976409912,0.7147040235900874,-0.7147040235900874
bcu-j+N391+E226,8.05195,7.288496017456055,0.763453982543945,-0.763453982543945
vcu+N369+E29,6.590339999999999,6.045196533203125,0.5451434667968744,-0.5451434667968744
ith+N68+N712+E122,8.48056,7.659598350524902,0.8209616494750982,-0.8209616494750982
vbw+N270+E182,6.62914,5.86328125,0.7658587499999996,-0.7658587499999996
vbn+N290+E143,8.98558,8.281048774719238,0.7045312252807623,-0.7045312252807623
wjq+N651+E92,8.92891,8.044790267944336,0.8841197320556642,-0.8841197320556642
ecl+N189+E139,8.21994,7.503370761871338,0.7165692381286615,-0.7165692381286615
hcp+N297+E212,2.3463,1.3741381168365479,0.972161883163452,-0.972161883163452
hcp+N56+E43,2.23766,1.2851334810256958,0.9525265189743042,-0.9525265189743042
wki+N278+E52,5.341819999999999,4.481961727142334,0.8598582728576654,-0.8598582728576654
zfm+N364+E162,4.99231,4.675851345062256,0.31645865493774394,-0.31645865493774394
oof+N348+E125,6.531540000000001,5.938664436340332,0.5928755636596685,-0.5928755636596685
snw+N287+E138,4.53006,3.8982667922973633,0.6317932077026365,-0.6317932077026365
vbm+N630+E37,7.25369,6.448489189147949,0.8052008108520505,-0.8052008108520505
vbf+N272+E182,8.27827,7.651882648468018,0.6263873515319816,-0.6263873515319816
yfx+N482+E177,6.23224,5.551932334899902,0.6803076651000977,-0.6803076651000977
zfm+N300+E216,6.0281199999999995,4.936194896697998,1.0919251033020014,-1.0919251033020014
fnt+N383+E149,8.44157,7.645611763000488,0.7959582369995122,-0.7959582369995122
wff+N380+E142,5.4154599999999995,4.421789646148682,0.9936703538513179,-0.9936703538513179
wff+N542+E173,3.8292699999999997,3.0452022552490234,0.7840677447509763,-0.7840677447509763
mdf+N492+E88,6.43814,5.726781368255615,0.7113586317443845,-0.7113586317443845
vcu+N369+E205,5.01051,3.9750874042510986,1.0354225957489014,-1.0354225957489014
wgx+N197+E149,8.25488,7.746239185333252,0.508640814666748,-0.508640814666748
wjm+N206+E149,3.5292,2.868528127670288,0.6606718723297118,-0.6606718723297118
wmj+N356+E52,6.47973,5.803624153137207,0.676105846862793,-0.676105846862793
snk+N240+E8,8.22668,7.223001480102539,1.003678519897461,-1.003678519897461
fnq+N254+E138,5.70573,4.86055850982666,0.8451714901733398,-0.8451714901733398
snw+N528+E108,7.6918,6.970016002655029,0.7217839973449705,-0.7217839973449705
sda+N31+E120,5.5545599999999995,4.670358657836914,0.8842013421630854,-0.8842013421630854
gpu+N243+E138,4.12482,3.3560845851898193,0.7687354148101804,-0.7687354148101804
lon+N113+E44,8.137089999999999,7.899780750274658,0.23730924972534062,-0.23730924972534062
skb+N572+E131,8.54171,8.116399765014648,0.4253102349853517,-0.4253102349853517
ecm+N229+E18,3.6146,3.0177557468414307,0.5968442531585691,-0.5968442531585691
vmb+N391+E115,8.7313,7.882844924926758,0.8484550750732414,-0.8484550750732414
wiz+N51+E71,7.6931,6.710562229156494,0.9825377708435061,-0.9825377708435061
yfz+N482+E183,8.72377,8.303718566894531,0.4200514331054688,-0.4200514331054688
ure+N514+E74,6.89645,6.134994983673096,0.761455016326904,-0.761455016326904
